,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,BL,SP Won,SP Attempts,CP EX,FP EX,DE EX,P EX,Total EX,Team,Opponent,Outcome,Tournament,stat_type,Match Number,Ref 1,Ref 2
600,OBERT,Alex,16:08,16,8,1,2,0,0,1,2,,,,,,,,,,,1,,,,0,,,0,USA,HUN,L,OLY2020,Player,24,BUCH JUANOLA,VOEVODIN
601,DAUBE,Hannes,21:24,21,24,1,5,0,1,,,1,4,,,,,,,1,,,,,2,1,,,3,USA,HUN,L,OLY2020,Player,24,BUCH JUANOLA,VOEVODIN
602,CUPIDO,Luca,24:31:00,24,31,1,7,0,4,,,1,3,,,,,,,,,1,,,1,0,,,1,USA,HUN,L,OLY2020,Player,24,BUCH JUANOLA,VOEVODIN
603,HALLOCK,Ben,17:55,17,55,2,5,0,0,1,3,1,1,0,1,,,,,2,1,,,,,0,,,0,USA,HUN,L,OLY2020,Player,24,BUCH JUANOLA,VOEVODIN
604,WOODHEAD,Dylan,6:53,6,53,,,0,0,,,,,,,,,,,,,1,,,1,0,,,1,USA,HUN,L,OLY2020,Player,24,BUCH JUANOLA,VOEVODIN
605,BOWEN,Alex,24:26:00,24,26,2,3,1,1,,,1,1,0,1,,,,,,,,,,,0,,,0,USA,HUN,L,OLY2020,Player,24,BUCH JUANOLA,VOEVODIN
606,STEVENSON,Ben,15:24,15,24,0,3,0,0,,,0,3,,,,,,,,1,1,,,1,0,,,1,USA,HUN,L,OLY2020,Player,24,BUCH JUANOLA,VOEVODIN
607,SMITH,Jesse,6:55,6,55,,,0,0,,,,,,,,,,,,,,,,1,1,,,2,USA,HUN,L,OLY2020,Player,24,BUCH JUANOLA,VOEVODIN
608,IRVING,Max,23:54,23,54,0,2,0,1,,,0,1,,,,,,,,1,,0,1,,0,,1,1,USA,HUN,L,OLY2020,Player,24,BUCH JUANOLA,VOEVODIN
609,,,,,,8,31,1,8,2,5,5,16,0,2,,,,,4,6,5,2,4,7,2,,1,10,USA,HUN,L,OLY2020,Team,24,BUCH JUANOLA,VOEVODIN
610,NAGY,Viktor,32:00:00,32,0,,,0,0,,,,,,,,,,,,,,,,,0,,,0,HUN,USA,W,OLY2020,Player,24,BUCH JUANOLA,VOEVODIN
611,ANGYAL,Daniel,14:17,14,17,0,1,0,0,,,0,1,,,,,,,,1,,,,1,0,,,1,HUN,USA,W,OLY2020,Player,24,VOEVODIN,BUCH JUANOLA
612,MANHERCZ,Krisztian,24:12:00,24,12,3,5,1,1,,,1,3,1,1,,,,,,1,2,1,2,,0,,,0,HUN,USA,W,OLY2020,Player,24,VOEVODIN,BUCH JUANOLA
613,ZALANKI,Gergo,22:56,22,56,0,7,0,5,,,0,1,0,1,,,,,,1,1,,,1,1,,,2,HUN,USA,W,OLY2020,Player,24,VOEVODIN,BUCH JUANOLA
614,VAMOS,Marton,19:43,19,43,2,2,1,1,,,1,1,,,,,,,,1,1,,,,2,,,2,HUN,USA,W,OLY2020,Player,24,VOEVODIN,BUCH JUANOLA
615,HOSNYANSZKY,Norbert,14:22,14,22,1,4,0,2,,,1,2,,,,,,,,,,,,2,0,,,2,HUN,USA,W,OLY2020,Player,24,VOEVODIN,BUCH JUANOLA
616,PASZTOR,Matyas,15:56,15,56,1,2,0,0,,,1,2,,,,,,,2,,,,,1,0,,,1,HUN,USA,W,OLY2020,Player,24,VOEVODIN,BUCH JUANOLA
617,JANSIK,Szilard,11:51,11,51,,,0,0,,,,,,,,,,,,,,,,1,1,,,2,HUN,USA,W,OLY2020,Player,24,VOEVODIN,BUCH JUANOLA
618,ERDELYI,Balazs,12:26,12,26,0,2,0,0,,,0,2,,,,,,,,,,1,2,1,2,,,3,HUN,USA,W,OLY2020,Player,24,VOEVODIN,BUCH JUANOLA
619,VARGA,Denes,29:33:00,29,33,2,5,1,4,,,,,,,1,1,,,,1,1,,,1,0,,,1,HUN,USA,W,OLY2020,Player,24,VOEVODIN,BUCH JUANOLA
620,MEZEI,Tamas,13:28,13,28,1,2,0,0,1,1,0,1,,,,,,,2,,,,,,1,,,1,HUN,USA,W,OLY2020,Player,24,VOEVODIN,BUCH JUANOLA
621,HARAI,Balazs,13:16,13,16,1,1,0,0,1,1,,,,,,,,,3,,1,,,,1,,,1,HUN,USA,W,OLY2020,Player,24,VOEVODIN,BUCH JUANOLA
622,,,,,,11,31,3,13,2,2,4,13,1,2,1,1,,,8,5,6,2,4,8,8,,,16,HUN,USA,W,OLY2020,Team,24,VOEVODIN,BUCH JUANOLA
623,TANAMURA,Katsuyuki,,,,,,0,0,,,,,,,,,,,,,,,,,0,,,0,JPN,RSA,W,OLY2020,Player,25,VOEVODIN,BUCH JUANOLA
624,ADACHI,Seiya,19:05,19,5,4,8,0,2,,,2,3,,,1,2,1,1,,,,2,2,,2,,,2,JPN,RSA,W,OLY2020,Player,25,PUTNIKOVIC,WALDOW
625,KOPPU,Harukiirario,19:04,19,4,0,1,0,1,,,,,,,,,,,1,2,,,,1,0,,,1,JPN,RSA,W,OLY2020,Player,25,PUTNIKOVIC,WALDOW
626,SHIGA,Mitsuaki,23:48,23,48,2,2,2,2,,,,,,,,,,,,2,,,,1,0,,,1,JPN,RSA,W,OLY2020,Player,25,PUTNIKOVIC,WALDOW
